Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Technique
Factor the quadratic expression: x^2 + 4x + 4,(x + 2)^2,(x + 3)(x + 1),(x + 4)(x + 1),(x + 2)(x + 2),(x + 2)^2,Perfect square trinomials
Simplify: 2x^2 - 10x + 12,(x - 6)(2x - 2),(x - 2)(x - 6),(2x + 6)(x - 1),(2x - 3)(x - 4),(2x - 3)(x - 4),Factoring trinomials
Factor the expression: 3x^2 - 12x + 9,(3x - 3)^2,(3x + 3)^2,(3x - 9)^2,(3x + 9)^2,(3x - 3)^2,Perfect square trinomials
Simplify: 9x^2 - 4, (3x - 2)(3x + 2),(3x - 1)(3x + 1),(3x - 4)(3x + 4),(9x + 2)(9x - 2),(3x - 2)(3x + 2),Difference of squares
Factor the expression: x^2 - 25,(x - 5)(x + 5),(x + 25)(x - 1),(x - 6)(x + 5),(x + 5)(x - 5),(x - 5)(x + 5),Difference of squares
Factor completely: 2x^3 - 8x^2 - 6x,2x(x + 1)(x - 4),2(x - 1)(x + 2)(x - 3),2x^2(x - 3),2(x - 3)(x + 1)(x - 2),2x(x + 1)(x - 4),Factoring trinomials and common factor
Simplify: (x^3 - x^2) / x^2,x - 1,x + 1,1,x^2 - x,x - 1,Simplifying rational expressions
Factor completely: x^2 + 6x + 9,(x + 3)^2,(x + 2)(x + 4),(x + 3)(x + 3),(x + 1)(x + 9),(x + 3)^2,Perfect square trinomials
Simplify: 2x^3 + 4x^2 - 8x,2x(x + 2)(x - 2),2(x - 2)(x + 2),2x^2(x - 4),2(x - 4)(x + 2),2x(x + 2)(x - 2),Factoring trinomials
Factor the expression: 5x^2 - 10x - 25,(x - 5)(5x + 5),(5x + 25)(x - 1),(5x - 5)(x + 5),(5x - 25)(x - 1),(5x - 5)(x + 5),Factoring trinomials
Factor the expression: 4x^2 - 12x - 9,(2x - 3)(2x + 3),(4x - 3)(x + 3),(2x + 9)(2x - 1),(4x - 3)(2x + 3),(2x - 3)(2x + 3),Factoring trinomials
Factor completely: 6x^3 - 54x,6x(x^2 - 9),(3x - 6)(2x + 3),(2x - 3)(x^2 - 9),(6x - 9)(x + 1),(6x)(x^2 - 9),Factoring out common factor
Simplify: (4x^2 + 12x) / 2x,2x + 6,2x - 6,2x + 3,2x^2 + 6x,2x + 3,Simplifying rational expressions
Factor the expression: x^2 - 16, (x + 4)(x - 4), (x - 4)(x + 4), (x + 8)(x - 8), (x + 4)^2,(x + 4)(x - 4),Difference of squares
Simplify: (x^3 + 2x^2 - 3x) / x, x^2 + 2x - 3, x^2 + 2x + 3, x^2 - 2x + 3, x^2 - 2x - 3, x^2 + 2x - 3,Simplifying rational expressions
Factor completely: 9x^2 - 4y^2, (3x - 2y)(3x + 2y), (3x - 4y)(3x + 4y), (9x - 4y)(9x + 4y), (3x + 2y)^2,(3x - 2y)(3x + 2y),Difference of squares
Factor the expression: 2x^2 - 10x + 12, (2x - 6)(x - 2), (2x + 6)(x - 1), (2x - 2)(x + 6), (2x - 3)(x - 4), (2x - 3)(x - 4),Factoring trinomials
Simplify: (3x^2 - 9) / 3x, x^2 + 3, x - 3, 1, x^2 - 3, x - 3,Simplifying rational expressions
Factor the expression: x^2 - 7x + 12, (x - 4)(x - 3), (x + 4)(x - 3), (x - 6)(x + 2), (x + 3)(x + 4), (x - 4)(x - 3),Factoring trinomials
Factor completely: 5x^2 - 5, 5(x + 1)(x - 1), 5(x + 5)(x - 5), (x - 1)(x + 1), (x + 5)(x - 5), 5(x + 1)(x - 1),Difference of squares
Simplify: (2x^2 + 6x) / 2x, x + 6, x - 6, x + 3, x^2 + 3x, x + 3,Simplifying rational expressions
... (Continue with more questions)
